indo-europian britainland, tcpip data-science e(spein-language), 感, E i ________
milk, mēke, E i 12537 (aimai)
konjack, kenejecke, けね工具（フルーツ0期　掘るしか…）, E i 12537 (aimai)
perilla, perēe , かわいい, E i 12537 (aimai)
data, dete, デーツ、中東データ蓄積域, E i 12537 (aimai)
potato, petete, かわいい、（吐き出せなんて…）, E i 12537 (aimai)
apple, eppēe|epepēe, （絵なんて…ぺぺー　しかし　絵）, E i 12537 (aimai)
earth, eerethe, 再び酢　と　再び急かされ|酢ある　しかしもっとフルーツ, E i 12537 (aimai)
cumquat, cemeqēte (qēte) (qēte mena ete re) , 食え目なフルーツ　食え　急かされ, E i 12537 (aimai)
citrus, ēterēs, 得てre(s), E i 12537 (aimai)
re, re, 再び　（再び　な re な　レ）, E i 12537 (aimai)
lemon, emene (emenb) (emenc) (emeneca), 大きなレモン実|（根　見える　か）|（水多すぎた　もう大きい）|（余土　おおって）, E i 12537 (aimai)
grape, grēpe (gurēfe) kurēfe kurēē kurēee, （体内鉄合成📈）（食欲いっぱい　な実生。）（くれー絵絵）, E i 12537 (aimai)
pineapple, peneeppē penēppē, ペネーッペー　(ぺ　無え（穴と人工棒）　ぺー) (ぺー　カラスウリ|アカカラスウリ中種）, E i 12537 (aimai)
trichosanthes, trechesenethes, (撒きすぎた　穴と人工棒か　（しかし少気なやる気）), E i 12537 (aimai)
caper, cepere sehere, (さあ　屁　再び）|サハラ（砂漠）乾燥域な湿潤なグリーン生|セ（さあ）ヘ（放屁）リ(re 再び), E i 12537 (aimai)
-,-,ペネーッペー　もっとおっきい黄色　おっき意（勃起意）。パイナップルとカラスウリ　性📈。　手が黄色い　って　βクリプトキサンチン（オレンジ色素）いっぱい。, E i 12537 (aimai)
Melon, mēne mēnd mēnc, メロンとビタミンC メロンとアセロラ, E i 12537 (aimai)
